 id | person | bibtex | orcid | label | type 
----+--------+--------+-------+-------+------
(0 rows)

 id | person | bibtex | orcid | label | type 
----+--------+--------+-------+-------+------
(0 rows)

CREATE INDEX
   id    |                person                | bibtex |        orcid        | label | type 
---------+--------------------------------------+--------+---------------------+-------+------
   13270 | John Choma Jr.                       |        |                     |       | 
   13304 | John M. Khoury                       |        |                     |       | 
   13352 | John W. Fattaruso                    |        |                     |       | 
   13354 | John Lockwood                        |        |                     |       | 
   13509 | John W. Lamp                         |        |                     |       | 
   13552 | John Hinde                           |        |                     |       | 
   13575 | John S. Chipman                      |        |                     |       | 
   13582 | John D. Storey                       |        | 0000-0001-5992-402X |       | 
   13891 | John C. Young                        |        |                     |       | 
   13944 | John M. Norman                       |        |                     |       | 
   13951 | John E. Kolassa                      |        |                     |       | 
   14005 | John Boland 0001                     |        |                     |       | 
   14045 | John Adams                           |        |                     |       | 
   14088 | John Haywood                         |        |                     |       | 
   14141 | John A. Nelder                       |        |                     |       | 
   14374 | John McCloud                         |        |                     |       | 
   14512 | John R. Herring                      |        |                     |       | 
   14605 | John Mylopoulos                      |        |                     |       | 
   14774 | John Cieslewicz                      |        |                     |       | 
   15329 | John Quarles                         |        |                     |       | 
   15528 | Johns Paul                           |        |                     |       | 
   15674 | John Poelman                         |        |                     |       | 
   15772 | John C. Wierman                      |        |                     |       | 
   15825 | John Scott                           |        |                     |       | 
   15873 | John B. Rundle                       |        |                     |       | 
   15932 | John Watrous                         |        |                     |       | 
   16054 | John Nachbar                         |        |                     |       | 
   16394 | John D. Hadjidemetriou               |        |                     |       | 
   16400 | John T. Feddema                      |        |                     |       | 
   16545 | John F. Sowa                         |        |                     |       | 
   17496 | John W. Simpson-Porco                |        |                     |       | 
   17658 | John Basile                          |        |                     |       | 
   17893 | John Hogue                           |        |                     |       | 
   18165 | John McPhee 0001                     |        | 0000-0003-3908-9519 |       | 
   18320 | John L. Davidson                     |        |                     |       | 
   18589 | John-John Cabibihan                  |        | 0000-0001-5892-743X |       | 
   19072 | John Matyas                          |        |                     |       | 
   19726 | Johnny McNulty                       |        | 0000-0003-0688-4831 |       | 
   19760 | John Booske                          |        |                     |       | 
   19769 | John C. Woods                        |        |                     |       | 
   19843 | John Snoap                           |        | 0000-0001-8541-9764 |       | 
