 id |     person     | bibtex | orcid | label | type | relation_id |  role  | person_id |        publication_id         |              key              |     type      |   mdate    |   publtype   | reviewid | rating | cdate | address |             booktitle              |     pages     | year |                       journal                       |     volume     | number | month |                          url                          |                                            ee                                            | school | publisher | note | cdrom |       crossref        | isbn | chapter | publnr 
  5 | Kazuhiro Fukui |        |       |       |      |     3482350 | author |         5 | conf/mva/YamadaYNMF05         | conf/mva/YamadaYNMF05         | inproceedings | 2020-03-12 |              |          |        |       |         | MVA                                | 285-289       | 2005 |                                                     |                |        |       | db/conf/mva/mva2005.html#YamadaYNMF05                 | http://b2.cvl.iis.u-tokyo.ac.jp/mva/proceedings/CommemorativeDVD/2005/papers/2005285.pdf |        |           |      |       | conf/mva/2005         |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3482677 | author |         5 | conf/mva/HiraokaF23           | conf/mva/HiraokaF23           | inproceedings | 2023-08-29 |              |          |        |       |         | MVA                                | 1-5           | 2023 |                                                     |                |        |       | db/conf/mva/mva2023.html#HiraokaF23                   | https://doi.org/10.23919/MVA57639.2023.10216189                                          |        |           |      |       | conf/mva/2023         |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3482852 | author |         5 | conf/mva/LiF07a               | conf/mva/LiF07a               | inproceedings | 2020-03-12 |              |          |        |       |         | MVA                                | 380-383       | 2007 |                                                     |                |        |       | db/conf/mva/mva2007.html#LiF07a                       | http://b2.cvl.iis.u-tokyo.ac.jp/mva/proceedings/2007CD/papers/10-02.pdf                  |        |           |      |       | conf/mva/2007         |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3482980 | author |         5 | conf/mva/SakaiSF19            | conf/mva/SakaiSF19            | inproceedings | 2019-07-13 |              |          |        |       |         | MVA                                | 1-6           | 2019 |                                                     |                |        |       | db/conf/mva/mva2019.html#SakaiSF19                    | https://doi.org/10.23919/MVA.2019.8758035                                                |        |           |      |       | conf/mva/2019         |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3484456 | author |         5 | conf/mva/OkadaHHIF23          | conf/mva/OkadaHHIF23          | inproceedings | 2023-08-29 |              |          |        |       |         | MVA                                | 1-5           | 2023 |                                                     |                |        |       | db/conf/mva/mva2023.html#OkadaHHIF23                  | https://doi.org/10.23919/MVA57639.2023.10215626                                          |        |           |      |       | conf/mva/2023         |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3485594 | author |         5 | conf/mva/KubotaFIMK90         | conf/mva/KubotaFIMK90         | inproceedings | 2022-06-23 |              |          |        |       |         | MVA                                | 401-404       | 1990 |                                                     |                |        |       | db/conf/mva/mva1990.html#KubotaFIMK90                 | http://b2.cvl.iis.u-tokyo.ac.jp/mva/proceedings/CommemorativeDVD/1990/papers/1990401.pdf |        |           |      |       | conf/mva/1990         |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3485724 | author |         5 | conf/mva/SouzaGF17            | conf/mva/SouzaGF17            | inproceedings | 2022-01-03 |              |          |        |       |         | MVA                                | 77-80         | 2017 |                                                     |                |        |       | db/conf/mva/mva2017.html#SouzaGF17                    | https://doi.org/10.23919/MVA.2017.7986794                                                |        |           |      |       | conf/mva/2017         |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3486258 | author |         5 | conf/mva/Fukui94              | conf/mva/Fukui94              | inproceedings | 2020-03-12 |              |          |        |       |         | MVA                                | 391-396       | 1994 |                                                     |                |        |       | db/conf/mva/mva1994.html#Fukui94                      | http://b2.cvl.iis.u-tokyo.ac.jp/mva/proceedings/CommemorativeDVD/1994/papers/1994391.pdf |        |           |      |       | conf/mva/1994         |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3898568 | author |         5 | conf/icip/YokooIF19           | conf/icip/YokooIF19           | inproceedings | 2019-12-11 |              |          |        |       |         | ICIP                               | 1510-1514     | 2019 |                                                     |                |        |       | db/conf/icip/icip2019.html#YokooIF19                  | https://doi.org/10.1109/ICIP.2019.8803093                                                |        |           |      |       | conf/icip/2019        |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     3946183 | author |         5 | conf/icip/YamaguchiF02        | conf/icip/YamaguchiF02        | inproceedings | 2017-05-25 |              |          |        |       |         | ICIP (3)                           | 329-332       | 2002 |                                                     |                |        |       | db/conf/icip/icip2002-3.html#YamaguchiF02             | https://doi.org/10.1109/ICIP.2002.1038972                                                |        |           |      |       | conf/icip/2002        |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     4431671 | author |         5 | conf/icassp/SouzaGF19         | conf/icassp/SouzaGF19         | inproceedings | 2022-01-03 |              |          |        |       |         | ICASSP                             | 351-355       | 2019 |                                                     |                |        |       | db/conf/icassp/icassp2019.html#SouzaGF19              | https://doi.org/10.1109/ICASSP.2019.8682493                                              |        |           |      |       | conf/icassp/2019      |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     5107753 | author |         5 | conf/icdar/GattoSF17          | conf/icdar/GattoSF17          | inproceedings | 2023-03-24 |              |          |        |       |         | ICDAR                              | 1044-1049     | 2017 |                                                     |                |        |       | db/conf/icdar/icdar2017.html#GattoSF17                | https://doi.ieeecomputersociety.org/10.1109/ICDAR.2017.173                               |        |           |      |       | conf/icdar/2017       |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     6242073 | author |         5 | conf/icpr/YamazakiHF14        | conf/icpr/YamazakiHF14        | inproceedings | 2023-03-24 |              |          |        |       |         | ICPR                               | 483-488       | 2014 |                                                     |                |        |       | db/conf/icpr/icpr2014.html#YamazakiHF14               | https://doi.ieeecomputersociety.org/10.1109/ICPR.2014.92                                 |        |           |      |       | conf/icpr/2014        |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     6243075 | author |         5 | conf/icpr/WuF08               | conf/icpr/WuF08               | inproceedings | 2023-03-24 |              |          |        |       |         | ICPR                               | 1-4           | 2008 |                                                     |                |        |       | db/conf/icpr/icpr2008.html#WuF08                      | https://doi.ieeecomputersociety.org/10.1109/ICPR.2008.4761356                            |        |           |      |       | conf/icpr/2008        |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     7206448 | author |         5 | conf/bracis/GattoMSF19        | conf/bracis/GattoMSF19        | inproceedings | 2022-01-03 |              |          |        |       |         | BRACIS                             | 150-155       | 2019 |                                                     |                |        |       | db/conf/bracis/bracis2019.html#GattoMSF19             | https://doi.org/10.1109/BRACIS.2019.00035                                                |        |           |      |       | conf/bracis/2019      |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     8301454 | author |         5 | conf/cvpr/BataloSGSF22        | conf/cvpr/BataloSGSF22        | inproceedings | 2022-08-29 |              |          |        |       |         | CVPR Workshops                     | 4868-4876     | 2022 |                                                     |                |        |       | db/conf/cvpr/cvpr2022w.html#BataloSGSF22              | https://doi.org/10.1109/CVPRW56347.2022.00534                                            |        |           |      |       | conf/cvpr/2022w       |      |         | 
